,Trips,Fare amount (avg),Fare amount (std),Tip amount (avg),Tip amount (std),Total amount (avg),Total amount (std)
2016-05-05,50559.0,12.296639767400466,9.640266724427407,1.3408665123914771,2.678178036502326,14.953002037229426,11.200982669064931
2016-05-06,60060.0,12.401936063936065,9.711364997154938,1.3020396270396442,2.2482210758853403,15.045291375300113,11.19694784006362
2016-05-07,67447.0,12.546680652957134,9.222555656277926,1.332493809954518,2.639165550110562,14.999986656200914,10.710406356450568
2016-05-08,57984.0,12.560356305187645,9.276814107185633,1.2492084023178955,4.460440927894181,14.940290424954364,11.345575591212027
2016-05-09,40281.0,12.367368734639161,13.96955630191571,1.2272371589583209,2.889157914754509,14.899731635261695,15.179188313933912
2016-05-10,41134.0,12.071772013419555,9.417648900064943,1.24847668595323,2.5428574375893707,14.615476977681967,10.926421326700703
2016-05-11,42589.0,12.25127685552607,10.118586526208055,1.281889924628434,2.48787549256682,14.826689285966447,11.569167519114124
2016-05-12,48427.0,12.615053585809571,10.208419069631015,1.3208489066017002,2.49157163319701,15.265763933348081,11.835948300855101
2016-05-13,55685.0,12.602048846188376,13.033644784611955,1.3414533536859368,2.647649714394002,15.289496273690775,14.304775578673242
2016-05-14,67398.0,12.882049912460312,9.848903123086018,1.3908157512092756,2.4949511442246166,15.391653461539088,11.38088790398911
2016-05-15,57551.0,12.667645566540985,9.728926921498287,1.3315349863599435,2.3378495639855217,15.120295563943912,11.170996353597335
2016-05-16,41273.0,12.378149637777724,9.98216850461589,1.2993884621907892,2.696758238194555,14.976968478182096,11.534018401575592
2016-05-17,43709.0,12.844228190990414,11.023921583867516,1.384278981445477,3.199346152006576,15.544344871767533,12.70836763882377
2016-05-18,46099.0,12.762630642747133,11.184021179272994,1.4490828434456369,3.1583653188513656,15.552321091567595,12.879932254131004
2016-05-19,48593.0,12.866770728294199,10.524867905311018,1.4535984606836427,3.0265623044772094,15.646170641867325,12.275404760224696
2016-05-20,55470.0,12.843947178655133,10.192206515073003,1.3533540652605145,3.120861285908482,15.537836127645502,11.914294839452436
2016-05-21,67758.0,12.970230526284725,9.9579620483072,1.4377555417810963,2.612831314538214,15.53966277046014,11.46608940806103
2016-05-22,52573.0,12.799047800201626,9.663201322471727,1.3876843626957052,2.396338644854986,15.31438514066864,11.1494864984544
2016-05-23,39268.0,12.202166140368748,9.731556698771335,1.2792166649689365,3.1548055982283825,14.793969389832325,11.44270314846816
2016-05-24,40960.0,12.17072900390625,9.63992784533699,1.3241491699218757,2.951837488402968,14.79564624023412,11.320273810852573
2016-05-25,44759.0,12.420420027257087,10.524476242600269,1.3561230143658378,3.4545977393984715,15.092786925537114,12.212649973648595
2016-05-26,47878.0,12.555558920589831,10.253451094930524,1.314195872843483,2.729191256258632,15.175056184473972,11.846199869856248
2016-05-27,52707.0,12.484302844024516,9.70852112076053,1.2930753030906834,2.7766004652304503,15.111767886625852,11.32348361034236
2016-05-28,57265.0,12.396121540207806,9.486412023319154,1.2183719549463157,2.577816682813694,14.738864751602021,10.940613031457028
2016-05-29,50109.0,12.679165219820788,9.965016167054113,1.2378207507633512,2.6713737834071343,15.05043086072886,11.351358776483233
2016-05-30,37049.0,12.195782882129073,9.636883179660066,1.3193206294367044,3.3069298504248668,14.63232394936024,11.24520816145072
2016-05-31,39387.0,12.381224515703149,20.351174475940663,1.259460735775772,2.7737323670912746,14.933176174878481,21.20441927349746
2016-06-01,42869.0,12.384878350323074,18.809398326568946,1.249210618395587,3.07105032141774,14.926857169517765,19.702913846551642
2016-06-02,46339.0,12.367355791018364,10.549672398434746,1.267837674529022,2.614688209101089,14.945723904274075,12.072085229504347
2016-06-03,54391.0,12.602429629902007,9.794785434060964,1.3239550660955095,3.1029257921986018,15.264033387884961,11.447053115197875
2016-06-04,66186.0,12.83153174387333,9.493930879105717,1.396959024567169,2.72065511677949,15.36358625692414,11.00111106819206
2016-06-13,37941.0,11.99802614585804,10.352087305125714,1.2054553121952578,3.0412914044769943,14.525521467537356,11.908697407052193
2016-06-22,41869.0,12.533809023382453,10.247527151902274,1.3099214215768362,3.56814925618192,15.178961284005775,12.117499580407138
2016-06-30,42425.0,12.870783736004714,11.390225147637345,1.367893459045376,2.92873047447584,15.604192103714087,13.199569475639336
2016-06-23,45032.0,12.484846331497605,11.026691419664587,1.3118908775981573,2.873100848015132,15.134493249247566,12.486253748221428
2016-06-05,51552.0,12.562949061142143,11.766130715490544,1.3643870266915257,2.395052330421401,15.04637647424669,12.979070594560175
2016-06-14,37737.0,12.422404801653547,10.043436376725918,1.3810901767496109,3.8597268668796234,15.136463682854847,12.01852397504601
2016-06-24,50677.0,12.573718452157786,10.157963228555763,1.2905686998046595,2.7315626620530287,15.227921542323356,11.852889259857752
2016-06-15,42177.0,12.435212793702727,10.363002767945208,1.3452779951158331,2.858230591158315,15.116637740949118,12.133575336954706
2016-06-06,38993.0,12.445611776472699,10.057813834417804,1.3156707614187295,3.5359767806392366,15.055890287998624,11.841544999272852
2016-06-25,58952.0,12.745073958474688,10.022836618441731,1.3363568666033672,2.5418903835381483,15.23605814901192,11.564871927643482
2016-06-16,45686.0,12.710511316377012,10.924825769334277,1.4182977279691855,3.521766401125089,15.476184607979846,12.794893278051019
2016-06-07,40615.0,12.247574295211127,9.971406589228005,1.2637885017850603,2.7539923824386703,14.82767105748982,11.464723476375234
2016-06-17,52327.0,12.561283085214136,10.240876465923476,1.2844112981825937,2.5946157547213065,15.217957650933016,11.87614132969769
2016-06-26,51363.0,12.761947121468758,10.291489893580176,1.3524704553861842,2.6869368995095977,15.276928528324635,11.767947315326072
2016-06-08,47278.0,12.2350471678159,9.867818089755122,1.3534049663691354,3.3606014771755084,14.89997440670429,11.72706610194065
